sku,title,description,category,material,origin_district,price_rwf,artisan_id,is_local
RW-0078,ankara fabric shirt with Rwandan motifs,Handcrafted ankara fabric shirt adorned with traditional Rwandan geometric motifs.,apparel,ankara-fabric,Nyarugenge,26000,ART-056,True
RW-0269,brass ring geometric,"Geometric brass ring with clean lines, available in multiple sizes.",jewellery,brass,Nyabihu,21500,ART-010,True
RW-0337,recycled glass serving bowl,"Large recycled glass serving bowl glazed with earth-toned colours, food-safe finish.",home-decor,recycled-glass,Huye,7000,ART-050,True
RW-0303,beads ring geometric,"Geometric beads ring with clean lines, available in multiple sizes.",jewellery,beads,Huye,23000,ART-053,True
RW-0125,cow leather sandals Nyamirambo style,"Open-toe cow leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,cow-leather,Kayonza,10000,ART-074,True
RW-0034,denim skirt with embroidery,Flowing denim skirt with hand-stitched embroidery from local artisans.,apparel,denim,Huye,34500,ART-050,True
RW-0297,wood ring geometric,"Geometric wood ring with clean lines, available in multiple sizes.",jewellery,wood,Rusizi,11000,ART-065,True
RW-0382,clay vase hand-painted,Hand-painted clay vase with motifs depicting Rwandan thousand hills landscape.,home-decor,clay,Nyagatare,11500,ART-078,True
RW-0139,goat leather sandals Nyamirambo style,"Open-toe goat leather sandals inspired by Nyamirambo street style, hand-cut soles.",leather,goat-leather,Nyabihu,6500,ART-071,True
RW-0008,denim shirt with Rwandan motifs,Handcrafted denim shirt adorned with traditional Rwandan geometric motifs.,apparel,denim,Huye,5000,ART-049,True
RW-0090,cow leather handbag artisan,Artisan-made cow leather handbag with hand-stitched seams and brass buckle closure.,leather,cow-leather,Kayonza,33000,ART-038,True
RW-0046,kitenge fabric headwrap igitenge,"Vibrant kitenge fabric headwrap (igitenge) in bold colours, a staple of Rwandan fashion.",apparel,kitenge-fabric,Gasabo,8000,ART-070,True
RW-0002,cotton blazer Kigali style,Modern cotton blazer blending contemporary Kigali fashion with traditional textiles.,apparel,cotton,Bugesera,5500,ART-047,True
RW-0342,ceramic candle holder set,Set of three ceramic candle holders with carved geometric patterns.,home-decor,ceramic,Kicukiro,18000,ART-003,True
RW-0186,sisal fruit bowl,"Elegant sisal fruit bowl woven with natural dyes, a functional art piece for the home.",basketry,sisal,Nyabihu,11000,ART-010,True
RW-0380,bamboo incense burner,Artisan bamboo incense burner with ventilation slots and ash catcher tray.,home-decor,bamboo,Kayonza,10000,ART-005,True
RW-0334,bamboo wall art Imigongo,"Imigongo-style bamboo wall art panel, traditional cow-dung painting technique.",home-decor,bamboo,Nyarugenge,7500,ART-056,True
RW-0023,denim blazer Kigali style,Modern denim blazer blending contemporary Kigali fashion with traditional textiles.,apparel,denim,Nyabihu,11000,ART-071,True
RW-0151,cow leather laptop sleeve,"Protective cow leather laptop sleeve with soft lining, fits up to 15 inches.",leather,cow-leather,Gakenke,53500,ART-061,True
RW-0242,brass cufflinks artisan,"Handmade brass cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,brass,Gasabo,38000,ART-036,True
RW-0017,ankara fabric shirt with Rwandan motifs,Handcrafted ankara fabric shirt adorned with traditional Rwandan geometric motifs.,apparel,ankara-fabric,Huye,39500,ART-050,True
RW-0373,ceramic coasters set of 6,Set of six ceramic coasters with protective felt backing and cultural patterns.,home-decor,ceramic,Kayonza,21500,ART-038,True
RW-0268,cow horn cufflinks artisan,"Handmade cow horn cufflinks with subtle Rwandan motifs, perfect for formal wear.",jewellery,cow-horn,Nyagatare,29000,ART-006,True
RW-0379,banana bark wall art Imigongo,"Imigongo-style banana bark wall art panel, traditional cow-dung painting technique.",home-decor,banana-bark,Gakenke,11000,ART-004,True
RW-0071,denim shirt with Rwandan motifs,Handcrafted denim shirt adorned with traditional Rwandan geometric motifs.,apparel,denim,Ngoma,22500,ART-021,True
RW-0332,ceramic candle holder set,Set of three ceramic candle holders with carved geometric patterns.,home-decor,ceramic,Kayonza,7000,ART-037,True
